"","Sample_7","Sample_8","Sample_9","Sample_12","Sample_17","Sample_18","Sample_19","Sample_20","Sample_22","Sample_23","X13A_S24","X14A_S8","X16A_S30","X17A_S40","X18A_S16","X42A_S13","Sample_48","Sample_49","Sample_50","Sample_51","Sample_52","X1A_S21","X2A_S10","X3A_S17","X4A_S27","X7A_S22","X8A_S9","X9A_S18","X10A_S28","X11A_S38","X12A_S23","X31A_S4","X33A_S19","X36A_S39"
"ENSG00000000005.5",2.14652489147744,0.652442438985403,0.304099785908033,0.56740233921618,1.16039747141179,2.90770981375581,2.93301735819109,0.464205066635701,0.0394523126576145,0.386557142229197,0.531967777397682,0.405640625860345,0.265426093799533,0.119338911080862,0.700156478204913,1.4463568179637,1.62319731848183,0.579100961888851,0.417383216766929,0.358069874367073,0.417463154045523,0.18094475232491,0.129323510765472,0.738965802042356,0.32299068118475,0.16233637940929,0.412978747911694,0.286669458149633,0.235483220707856,0.154555990580646,0.359778651085199,0.506597880257962,0.77132190906396,0.21160036908749
"ENSG00000000938.11",2.47798551854045,2.36196201559976,3.58652457437824,3.70467280568943,2.61928387833034,4.0801715671759,2.8244847842871,3.62805031697987,2.00654219306344,2.52752079451363,1.65194028987286,1.91950408075229,1.79072200132815,1.95024816704827,3.97316122406284,1.93167171210007,1.03266511228183,0.89085522007739,1.39990934596295,1.45700585275424,1.44042603649878,0.955703371973253,0.421334804973662,2.14716991308218,1.68351231649614,0.781430220243017,1.94007652047955,1.34724043793343,1.24900837042472,0.773997168792237,0.74619149754299,0.655179610925905,0.959988953548292,1.73385756900238
"ENSG00000000971.14",4.14462561614401,3.67153115975913,4.33536891510367,4.89703223643744,3.90073158671122,4.50774390717338,4.45065041281643,3.76188095362998,2.39978359636717,4.28801150578079,2.96684940823105,2.16439369843005,3.81734697030505,3.15706473581695,4.7292101372804,4.02091995264677,3.36047665347458,2.95626486141389,3.11934621593481,2.72127202826162,3.84899843040002,2.16904950085547,2.50420595527596,3.71090008532576,2.47843603224482,3.04175989039231,3.5021141557618,3.03616218086749,3.02612015081808,2.9592397096587,2.84686033662708,3.10003067347023,3.10087675643202,3.3211170723557
"ENSG00000001461.15",2.79964271965204,2.37664323361655,2.94228177868622,2.48368681551921,1.82129387520858,2.2697034547964,2.57068636144057,2.29858500602712,3.8987114179895,3.36127147031517,3.69472421733649,2.78874208109849,2.29865245093861,3.94106874027387,2.13132936752496,2.13794937877035,1.83294670843482,1.58280646588645,2.55894106113082,2.94493338905791,2.24766021044297,2.23739851477063,1.56717547840441,3.079806460956,4.12611385352867,1.62975294245713,1.77024127910719,1.64200835725712,1.86559026222345,1.41097058586874,1.69933396814527,2.0347721163721,1.67156059736233,3.00081128780719
"ENSG00000001617.10",3.50184673650681,2.49618876637025,3.42981946692134,4.50492542342327,4.08889633743588,3.21087508420203,3.30808123345759,3.94055204428415,4.74256140144495,4.47500703759102,4.80557621963502,3.5642806034713,3.35575067862297,4.83948599952272,3.72391891719298,3.38178033826141,3.62242672498393,3.16255648648398,3.17617594222224,3.87523944252869,3.13738711979505,3.30812930073951,2.97755103309302,4.03763699948189,5.02652122937131,3.30384795063405,3.28554130275661,2.99462497742824,3.23394633111859,2.65626066916069,2.62382005074152,3.2464810562777,3.16538459580148,4.33151175514663
"ENSG00000002016.15",3.21412325072373,3.3583118584518,3.67781264755411,3.5540362243436,3.10402627924055,2.96416571196036,3.19851615535647,3.0593916214435,3.93882211499605,3.91172992541704,4.10243977915353,3.00797405950847,3.25457892670247,4.22373144513811,2.89853729978906,2.69698421273103,2.92925698813654,2.37818143025931,3.51714968814021,3.44163353118597,3.50548447951149,2.79284910691589,2.07149153795315,3.52412637847583,4.24079514754876,2.47771099869039,2.18099756581748,1.87244661631651,2.71993252722626,1.82547630002341,2.31322262914527,2.72186696307974,2.71683729131891,3.49552888499679
"ENSG00000002549.11",6.16014169065578,6.53625498776169,6.71568749184003,7.99563714703448,6.44623803064008,6.57139770824079,6.43075694911278,7.76751576530908,4.66970145328114,6.27734506027868,5.19101774725191,6.29128675503694,5.22943795464091,5.45501151915782,7.85637572599537,6.07926929683015,5.47766113924467,5.88404593815784,5.36494006258596,5.02096883052619,5.50469983377583,5.49947918870585,6.10404935036422,5.59329998267285,4.95594045128948,6.18974748133259,6.00306922251131,5.98802566767468,5.9474043348468,5.73654534803423,5.69803507312966,5.8644635117144,5.72823073673152,5.31939755379334
"ENSG00000002586.16",5.71790120554148,4.82687385141904,5.00396646220326,6.88921798180805,6.58838184052694,6.41916300026634,5.68691786790304,6.59536491020204,5.07485219637993,5.1583370271671,5.59635973810398,5.62329332105383,5.58619727978554,6.16367986286739,6.64427018384615,6.27931528002113,5.22462686740113,5.83289254520645,4.91970714584851,4.52945866592719,5.36416968208004,4.42064408484287,5.47273469812978,6.02654557381756,5.97158033933145,5.5375725260844,5.70375410664777,5.66023269611118,5.36812227370554,5.51093660861604,5.02116432548595,5.67134999205502,5.58154106297602,5.24801483181672
"ENSG00000002587.8",0.75428379500948,1.22389822105193,1.13095063263685,2.42246176813849,0.915628740326867,0.992507417101288,2.48961229431372,2.92025708944511,2.30695629317305,1.68829227783301,1.70348170510478,1.28558568841117,1.14856321754522,2.3665012721908,0.965226488649321,0.579992039131997,0.730196483186279,1.03614459348138,0.762423659488196,1.30852979915418,0.903002009407537,0.483092926886152,0.533224437035888,0.658919800664481,3.05329557249575,0.354580795622638,0.522826119415604,0.568629495239332,0.704099960346251,0.235185411498486,0.279818332749764,0.196092063648491,0.197175952989689,0.853144545325507
"ENSG00000002726.18",4.98153303354301,6.41069725651892,3.21107139573899,5.26610812717896,6.02047775475893,6.02687528994568,6.85801830572375,4.39199449775046,5.98533875560876,3.01885134534818,5.45514635830785,7.20880010580736,7.11157389077396,5.06260960994101,6.74811232482833,4.57199831677309,6.98921849876519,6.97857318922233,6.83714853189768,6.16686404454178,6.62626536033115,6.03346925514081,8.18246387920107,6.51258087867397,3.80047543930294,7.48802487984119,6.95868030492824,8.1913109545758,7.34678850605303,7.97873905535498,6.93122209624879,8.3819625046227,8.69350438124726,6.90456839314563
