"","ACR","ACR","ACR","ACR","ACR","ACR","ACR","ACR","ACR","ACR","ACR","ACR","ACR","ACR","ACR","ACR","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal"
"ENSG00000140749.8",2.93510138688573,3.23602873840361,4.06137011249466,4.84222461287724,2.69142026344612,3.56556062061811,3.43007112795128,4.15118503380305,2.77395835895265,2.87437796294068,1.48428767896853,2.46329025350542,2.05374389775732,3.05006978202087,4.6206802412243,2.42336840696654,0.633713909033237,1.14544921419788,0.910761822465415,0.680868922072796,1.05470263763486,0.487859837590085,0.641220461166689,1.62120558080335,0.991515134268615,1.44061207513101,0.717781472113905,0.607434953435023,1.49230955694199,0.599334934527579,0.750708540282147,0.507957988420094,0.540202882380472,0.713203983134438
"ENSG00000274712.1",0.971662367352552,0.607962297687615,0.653824053210199,1.10926025266994,0.962289147839648,1.20527989579843,0.822296968534428,0.966571481270574,1.16162974735795,0.832879484983565,0.820380772398705,0.644562360410275,0.845104611707276,1.02132336775091,1.01723780151019,0.617540165741839,0.445314597234447,0.275013009037308,0.429594541192883,0.236896669477896,0.448791027335338,0.434744038876871,0.406327679249708,0.606539825874126,0.391493889804996,0.486425032827207,0.590327992727824,0.418733993752824,0.393004256898321,0.312235321149559,0.342717437715941,0.362593322617575,0.359866341429869,0.421427450537991
"ENSG00000270231.3",2.01443742426776,1.55892392324907,1.71537065574312,2.20219201344124,1.76553898957745,1.83319775628214,1.85235047614876,2.07658987776993,1.77746811140191,1.85685027519704,1.49889929619351,1.45334373419551,1.58325430070498,1.91108178255284,1.94460735754925,1.82882652730562,1.22703865365307,0.822092162365596,1.18900851372868,1.23321930928484,1.35665655210163,1.10424942445396,0.943557560309508,1.50258520244744,1.55046729866576,1.06154120057377,1.12901918572933,1.11125170729581,1.24258421490918,0.816605440442772,0.954501570975547,1.11857235994315,1.15962272790596,1.45829275170205
"ENSG00000206337.9",3.94622554771203,4.25756133284085,4.1786031088104,4.75818056629838,3.78380235684743,4.24791232710007,4.17196737307833,4.34915293440125,3.0595577529946,4.73995608481389,3.40384986459209,3.79116809918233,2.59150230016984,3.41510016498367,4.6873518862096,2.85465598297348,2.08036431963902,2.49482263108051,2.49739265562051,2.69461948149131,2.80807402933685,1.98843384050503,1.82453162685361,2.83190358229324,2.70568159365371,2.58414233595401,2.16463183329788,1.89108083324092,2.29745850323249,1.85232250799924,1.80711994973125,1.85422709835334,1.9237767161712,2.5992178014679
"ENSG00000237499.5",0.975948549141513,0.756254742723906,1.10614727971465,1.29007636921752,0.804465816683276,1.13108237778823,0.989985479257894,1.07661381936788,1.30469209743734,0.743402943181007,0.64288914464673,0.797343410568617,0.537307996302842,0.529745000063519,1.29270519603139,0.524729689968763,0.109449224750218,0.0615814292484869,0.386336406587513,0.109718664418063,0.399924653861027,0.205172275601498,0.244546128875802,0.569731197095467,0.465004856579062,0.210094559554471,0.19099910633402,0.234355388226481,0.312208596365786,0.231792422849212,0.224351507040172,0.111607073254603,0.374514264305968,0.332945045964584
"ENSG00000271581.1",7.09147770123128,7.22081361006558,7.00446768401309,8.00639901799573,7.61856903957084,7.67016051412663,7.35203459519432,7.79333018735283,5.50925245223937,7.69179236412571,6.59836669423371,6.5373690698378,5.86826203216928,6.54931954278173,8.56446581907745,5.99965055497747,4.27312793608592,5.43373397997771,4.66895304100199,4.96678113100393,5.26156842411297,4.79721535611064,4.8305494319557,5.71974200695529,5.65113781965517,5.92592823118937,5.29592134474792,5.15000312436007,5.46355706853902,4.96486066424585,4.76088624278491,4.32394645542167,5.03840545206494,5.01752110370495
"ENSG00000023445.12",3.78540407780229,2.96185110425893,3.83985883711127,4.3861349558406,2.38640539010357,3.3385727415966,3.38844029902693,3.58344687508544,2.2435685518387,2.88550993947377,1.93603671043681,2.16376599254501,2.08662413709717,2.88158827387212,3.93116298805584,1.78036049798981,1.29137959288758,0.958954004327001,1.21813018106585,1.01464094688175,1.70275948137453,0.610956077633787,0.62935102416072,1.76316933434816,1.4513878517584,1.08662074054261,0.926269708726964,1.36836048219458,1.66911296169492,0.64975707763351,0.720208408537994,0.860190506077229,1.43433732430406,1.02304239266586
"ENSG00000163840.8",2.60729243325944,2.54162138978008,2.87772658418728,3.70335545280107,2.14166493759049,2.60551566832402,2.95841397804527,3.36462005445296,2.4846460148468,3.552155706425,2.67433409381283,2.34242674043592,1.81507941718538,2.94300986287725,3.1521428477579,2.52894882051901,1.36591085636509,1.08211667351532,1.76672659893433,1.46549914549258,1.76142570586678,1.44559429134118,1.14189050912319,2.17822702185742,2.21761538361153,1.93387851760824,1.36944414857638,1.18959687177888,1.4784645082688,1.13052896728722,1.17715240288169,1.48611194461215,1.22756242192486,1.70199698801081
"ENSG00000159216.17",1.63450498488866,1.43986777661828,1.7580856690217,2.68443277061439,1.2287263550585,1.75138230750588,2.0305797443479,2.52742570932477,2.15639338040058,1.92403525753787,1.42561506015543,1.08981675600816,1.64294180849023,2.46461860816732,1.96880961581414,1.33515736073114,0.580924040128414,0.17010324341842,0.722019156988406,0.59218001322507,0.733172961836068,0.42818313541342,0.212672673823875,1.0366158613219,1.65001085276019,0.507642435770272,0.493619668393115,0.468734485802768,0.862672762813172,0.341023629793232,0.612857294711341,0.832675365672129,0.579253536369706,0.620008278275103
"ENSG00000158985.12",4.20461809220528,3.7878398889244,4.04315199269509,4.79673271488811,3.37020195196917,4.15235380604509,4.04980499573531,4.58779701460896,4.08224273363519,4.44814769943384,3.90918746035695,3.47126551211009,3.44894454841344,4.20153976929439,4.11814373747434,3.65484794235905,2.88417589294662,2.70785384333013,3.28250059560297,3.13014837438822,3.2790254919511,2.78986485625005,2.67109405390415,3.49350643890787,3.70331115112855,2.93048756414529,2.84020337429297,2.62743641263024,2.9224776051372,2.52602623149809,2.74104409343135,3.07504480482593,2.74572352771845,3.14109921906395
"ENSG00000151883.15",3.0929346924604,2.57146324132358,2.80670143932504,4.04468262951658,2.54037946611247,3.31652809271782,3.19501838689487,3.52362468056479,3.0889878970738,3.45009609609346,2.78047808868503,2.78071114191818,2.01167811104552,2.98210464636395,3.60708170487719,2.75083371677083,2.02260572711544,1.44974095750951,2.05262803958802,1.6873742836114,2.13880136534558,1.40703181438076,1.19034936725335,2.19176476544484,2.6614668695406,1.76269748682588,1.82023615839452,1.33448818727915,1.65671144307639,1.24949995311366,1.8791411229593,1.58157299778447,1.43953803598486,2.13486163012575
"ENSG00000169896.15",3.06574979421312,2.1786286026826,3.82476785314329,4.36148063376133,2.88187797363776,3.72031130313823,3.18701231934658,3.79507077921051,2.65080590965605,2.89397178081378,1.77013976992365,2.73449502877932,2.87349431373804,2.90253864080633,3.49985864013217,2.3937044910017,1.00667862254005,1.47569711998258,1.44850455190074,1.3184151871185,2.1179443347893,0.500672561542651,0.958403212579956,2.08142825911277,2.02907824884649,1.7872652827517,1.52369241997026,1.04642819629542,1.79607855620167,0.953715207728186,1.45672731128183,1.39347111739513,1.29317622822089,1.68427566147823
"ENSG00000162511.7",5.49946643230218,4.7299388150975,5.54622773445293,7.45238128111815,5.31127785842837,6.22627923713622,6.03363223221023,7.44909910993136,4.85628358659706,5.19806190900635,3.74102467189956,4.51945384063082,4.27560307933685,4.82063340360835,6.71576984684866,4.94470386305751,2.95673508010129,2.71218415197756,3.08127485471772,2.45960473165563,3.82416702933987,2.2103950990691,2.30308516498564,4.14891783955257,3.75301612873584,3.42471386300661,3.42554658356387,2.96397712993166,3.34608462825115,2.61942005384376,2.75020558141699,2.22645304047077,3.15724748451516,3.27220687456168
"ENSG00000188042.7",3.23002927684049,1.85061542477801,1.99649721568123,3.71271682529609,2.05864552416374,3.08365079175273,2.8319785504885,3.27233081172607,1.84933879018837,2.21981903892505,1.61130932331909,1.89519014878745,1.85685824111273,2.85223860029737,3.17974351882142,1.7001067500954,0.681000307031993,0.619734147646976,0.567819942447384,0.458912154913496,1.12533370028721,0.504024379055256,0.656547624788026,1.49854193061565,1.30213769724459,1.42087041023465,1.07013511636966,0.839951527718187,1.22082521579787,0.733718764909342,0.731046787455792,0.998399163371583,1.3837623446634,0.699405934287768
